,id,name,start_timestamp,sport,league,teams,scores
0,,Golden State Warriors - Cleveland Cavaliers,2017-06-13 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 129, 'Cleveland Cavaliers': 120}"
1,,Cleveland Cavaliers - Golden State Warriors,2017-06-10 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 137, 'Golden State Warriors': 116}"
2,,Cleveland Cavaliers - Golden State Warriors,2017-06-08 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 113, 'Golden State Warriors': 118}"
3,,Golden State Warriors - Cleveland Cavaliers,2017-06-05 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 132, 'Cleveland Cavaliers': 113}"
4,,Golden State Warriors - Cleveland Cavaliers,2017-06-02 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 113, 'Cleveland Cavaliers': 91}"
5,,Boston Celtics - Cleveland Cavaliers,2017-05-26 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 102, 'Cleveland Cavaliers': 135}"
6,,Cleveland Cavaliers - Boston Celtics,2017-05-24 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 112, 'Boston Celtics': 99}"
7,,San Antonio Spurs - Golden State Warriors,2017-05-23 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Golden State Warriors']","{'San Antonio Spurs': 115, 'Golden State Warriors': 129}"
8,,Cleveland Cavaliers - Boston Celtics,2017-05-22 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 108, 'Boston Celtics': 111}"
9,,San Antonio Spurs - Golden State Warriors,2017-05-21 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Golden State Warriors']","{'San Antonio Spurs': 108, 'Golden State Warriors': 120}"
10,,Boston Celtics - Cleveland Cavaliers,2017-05-20 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 86, 'Cleveland Cavaliers': 130}"
11,,Boston Celtics - Cleveland Cavaliers,2017-05-18 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 104, 'Cleveland Cavaliers': 117}"
12,,Golden State Warriors - San Antonio Spurs,2017-05-17 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'San Antonio Spurs']","{'Golden State Warriors': 136, 'San Antonio Spurs': 100}"
13,,Boston Celtics - Washington Wizards,2017-05-16 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Washington Wizards']","{'Boston Celtics': 115, 'Washington Wizards': 105}"
14,,Golden State Warriors - San Antonio Spurs,2017-05-14 19:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'San Antonio Spurs']","{'Golden State Warriors': 113, 'San Antonio Spurs': 111}"
